t,x,y
0.00E+00,3.24E-01,-2.18E+00
3.52E-01,3.24E-01,-2.15E+00
7.04E-01,3.15E-01,-2.12E+00
1.06E+00,3.28E-01,-2.10E+00
1.41E+00,3.24E-01,-2.07E+00
1.76E+00,3.24E-01,-2.04E+00
2.11E+00,3.19E-01,-2.00E+00
2.46E+00,3.24E-01,-1.98E+00
2.82E+00,3.24E-01,-1.95E+00
3.17E+00,3.24E-01,-1.93E+00
3.52E+00,3.24E-01,-1.90E+00
3.87E+00,3.24E-01,-1.88E+00
4.23E+00,3.28E-01,-1.85E+00
4.58E+00,3.32E-01,-1.82E+00
4.93E+00,3.24E-01,-1.82E+00
5.28E+00,3.24E-01,-1.83E+00
5.63E+00,3.24E-01,-1.86E+00
5.99E+00,3.24E-01,-1.89E+00
6.34E+00,3.32E-01,-1.92E+00
6.69E+00,3.28E-01,-1.96E+00
7.04E+00,3.24E-01,-2.00E+00
7.39E+00,3.19E-01,-2.03E+00
7.75E+00,3.19E-01,-2.06E+00
8.10E+00,3.15E-01,-2.10E+00
8.45E+00,3.19E-01,-2.12E+00
8.80E+00,3.06E-01,-2.15E+00
9.15E+00,3.15E-01,-2.19E+00
9.51E+00,3.10E-01,-2.21E+00
9.86E+00,3.10E-01,-2.21E+00
1.02E+01,3.15E-01,-2.18E+00
1.06E+01,3.06E-01,-2.16E+00
1.09E+01,3.15E-01,-2.12E+00
1.13E+01,3.10E-01,-2.10E+00
1.16E+01,3.15E-01,-2.07E+00
1.20E+01,3.15E-01,-2.04E+00
1.23E+01,3.19E-01,-2.01E+00
1.27E+01,3.15E-01,-1.99E+00
1.30E+01,3.15E-01,-1.96E+00
1.34E+01,3.15E-01,-1.94E+00
1.37E+01,3.01E-01,-1.92E+00
1.41E+01,3.15E-01,-1.89E+00
1.44E+01,3.06E-01,-1.88E+00
1.48E+01,3.06E-01,-1.84E+00
1.51E+01,3.15E-01,-1.82E+00
1.55E+01,3.06E-01,-1.80E+00
1.58E+01,3.15E-01,-1.78E+00
1.62E+01,3.10E-01,-1.75E+00
1.65E+01,3.10E-01,-1.74E+00
1.69E+01,3.10E-01,-1.71E+00
1.73E+01,3.15E-01,-1.70E+00
1.76E+01,3.06E-01,-1.67E+00
1.80E+01,3.01E-01,-1.69E+00
1.83E+01,2.97E-01,-1.72E+00
1.87E+01,2.97E-01,-1.75E+00
1.90E+01,2.88E-01,-1.77E+00
1.94E+01,2.92E-01,-1.81E+00
1.97E+01,3.01E-01,-1.83E+00
2.01E+01,2.88E-01,-1.88E+00
2.04E+01,2.92E-01,-1.91E+00
2.08E+01,2.97E-01,-1.94E+00
2.11E+01,2.97E-01,-1.98E+00
2.15E+01,2.88E-01,-2.01E+00
2.18E+01,2.97E-01,-2.04E+00
2.22E+01,2.88E-01,-2.07E+00
2.25E+01,2.92E-01,-2.12E+00
2.29E+01,3.10E-01,-2.12E+00
2.32E+01,3.01E-01,-2.09E+00
2.36E+01,3.01E-01,-2.08E+00
2.39E+01,3.06E-01,-2.05E+00
2.43E+01,3.06E-01,-2.03E+00
2.46E+01,3.15E-01,-2.00E+00
2.50E+01,3.10E-01,-1.96E+00
2.54E+01,3.15E-01,-1.95E+00
2.57E+01,3.15E-01,-1.92E+00
2.61E+01,3.10E-01,-1.89E+00
2.64E+01,3.10E-01,-1.87E+00
2.68E+01,3.10E-01,-1.84E+00
2.71E+01,3.15E-01,-1.80E+00
2.75E+01,3.10E-01,-1.79E+00
2.78E+01,3.10E-01,-1.76E+00
2.82E+01,3.10E-01,-1.74E+00
2.85E+01,3.06E-01,-1.71E+00
2.89E+01,3.01E-01,-1.73E+00
2.92E+01,3.10E-01,-1.77E+00
2.96E+01,3.10E-01,-1.78E+00
2.99E+01,3.10E-01,-1.83E+00
3.03E+01,3.15E-01,-1.86E+00
3.06E+01,3.10E-01,-1.89E+00
3.10E+01,3.15E-01,-1.92E+00
3.13E+01,3.15E-01,-1.95E+00
3.17E+01,3.10E-01,-1.99E+00
3.20E+01,3.10E-01,-2.01E+00
3.24E+01,3.10E-01,-2.05E+00
3.27E+01,3.10E-01,-2.03E+00
3.31E+01,3.10E-01,-1.99E+00
3.35E+01,3.06E-01,-1.98E+00
3.38E+01,3.15E-01,-1.97E+00
3.42E+01,3.01E-01,-1.93E+00
3.45E+01,3.06E-01,-1.90E+00
3.49E+01,3.01E-01,-1.87E+00
3.52E+01,2.97E-01,-1.85E+00
3.56E+01,2.97E-01,-1.82E+00
3.59E+01,3.01E-01,-1.79E+00
3.63E+01,3.01E-01,-1.77E+00
3.66E+01,2.97E-01,-1.75E+00
3.70E+01,3.01E-01,-1.71E+00
3.73E+01,3.06E-01,-1.69E+00
3.77E+01,3.10E-01,-1.67E+00
3.80E+01,3.10E-01,-1.64E+00
3.84E+01,3.06E-01,-1.60E+00
3.87E+01,3.06E-01,-1.57E+00
3.91E+01,3.01E-01,-1.55E+00
3.94E+01,3.06E-01,-1.58E+00
3.98E+01,3.06E-01,-1.61E+00
4.01E+01,3.15E-01,-1.64E+00
4.05E+01,3.06E-01,-1.68E+00
4.08E+01,2.97E-01,-1.71E+00
4.12E+01,3.06E-01,-1.74E+00
4.15E+01,3.01E-01,-1.79E+00
4.19E+01,3.06E-01,-1.81E+00
4.23E+01,2.97E-01,-1.84E+00
4.26E+01,2.97E-01,-1.87E+00
4.30E+01,2.92E-01,-1.91E+00
4.33E+01,2.97E-01,-1.95E+00
4.37E+01,2.97E-01,-1.98E+00
4.40E+01,2.92E-01,-2.02E+00
4.44E+01,3.06E-01,-2.00E+00
